,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
75,0.752,0.176,176.094,0.389,0.359,0.0,4,0.682,10,223636,-5.823,0.526,0,audio_features,spotify:track:4Xxkvj5cn8MMGYgrjYRnLr
76,0.684,0.34,77.15,0.0308,0.323,0.0,4,0.36,4,342653,-6.457,0.2,0,audio_features,spotify:track:5Xak5fmy089t0FYmh3VJiY
77,0.395,0.0984,132.611,0.0293,0.359,0.000173,4,0.456,2,195160,-10.129,0.243,0,audio_features,spotify:track:7uRcUUmZpU4YVZFNVZnyXd
78,0.722,0.11,104.665,0.0233,0.101,3.37e-06,4,0.686,9,281747,-7.094,0.904,0,audio_features,spotify:track:6QLspHLCLftSGPa6vNzKuo
79,0.784,0.16,111.871,0.0269,0.026,0.00124,4,0.607,9,326013,-6.035,0.643,1,audio_features,spotify:track:4HomPKDsqVz9xAtW2zyMO2
80,0.723,0.146,98.745,0.0286,0.0016,0.176,4,0.478,11,259369,-6.512,0.265,0,audio_features,spotify:track:19cj5jW9ceHedTq3IF9D8O
81,0.59,0.104,124.635,0.0327,0.00182,0.00379,4,0.456,11,283733,-8.638,0.243,1,audio_features,spotify:track:2N2yrmodOnVF10mKvItC9P
82,0.726,0.471,120.814,0.0371,0.379,2.58e-06,4,0.733,7,197160,-6.514,0.915,1,audio_features,spotify:track:6xq5DxZWGgdStAxGAil0yw
83,0.631,0.105,130.019,0.0466,0.697,0.0,4,0.753,0,214154,-6.136,0.347,0,audio_features,spotify:track:1Z7Zp7A4TgD5uzYieBItBg
84,0.584,0.0893,107.245,0.421,0.448,0.0,3,0.489,2,257910,-8.834,0.0881,1,audio_features,spotify:track:2DssdqAjNPUpI3qUy67FrR
85,0.739,0.0883,110.027,0.316,0.107,0.0,4,0.657,5,272524,-8.509,0.406,0,audio_features,spotify:track:3KeWngnWN1REq9d26ZanKj
86,0.626,0.145,119.975,0.262,0.292,0.0,4,0.8,4,256000,-5.724,0.0943,0,audio_features,spotify:track:191yHIyhUqBpU2VYNFVbID
87,0.596,0.0775,93.633,0.219,0.04,3.86e-05,4,0.666,7,177505,-7.334,0.508,1,audio_features,spotify:track:2beQhTsnVS7jsTwUxU29xo
88,0.476,0.128,124.044,0.222,0.285,0.0,4,0.854,1,248195,-8.037,0.219,0,audio_features,spotify:track:0efg1XQEkIk60cfAYEmkCV
89,0.842,0.124,132.996,0.225,0.519,7.28e-06,4,0.742,2,200333,-6.421,0.564,1,audio_features,spotify:track:07Agqdd4SD83JRgN19OjdW
90,0.71,0.093,105.357,0.12,0.794,0.0,3,0.402,0,162444,-8.223,0.381,0,audio_features,spotify:track:1GNYdCljVysaihacr6Y0Wt
91,0.487,0.0648,81.972,0.0341,0.445,1.44e-05,4,0.486,9,282013,-11.633,0.373,0,audio_features,spotify:track:0gaMmmhGi5buPXpquSAfxg
92,0.726,0.707,139.978,0.0672,0.456,0.0,4,0.81,7,252335,-8.953,0.712,0,audio_features,spotify:track:7qUTdsU0OVNuBp6Nl7L1JS
93,0.274,0.0724,64.21,0.0363,0.843,0.0165,4,0.52,11,209246,-10.661,0.222,0,audio_features,spotify:track:0JtcFIgrkSagrM5JdFakeO
94,0.745,0.342,87.039,0.212,0.666,1.73e-05,4,0.695,0,184547,-6.59,0.592,0,audio_features,spotify:track:4aVbwkLJ7G4b972zlYhPJa
95,0.627,0.0895,89.518,0.357,0.691,1.3e-06,4,0.751,7,196947,-7.338,0.5,1,audio_features,spotify:track:0wuuk1Hr5j9uDT5j4J28s3
96,0.586,0.0535,114.243,0.0284,0.0983,0.581,4,0.632,0,342173,-11.333,0.89,1,audio_features,spotify:track:5SAUIWdZ04OxYfJFDchC7S
97,0.318,0.376,121.633,0.0509,0.739,0.000528,4,0.501,7,321080,-13.753,0.285,1,audio_features,spotify:track:6iMjntVYkchLBJcqsiSNYZ
98,0.949,0.218,100.346,0.0896,0.0214,0.00778,4,0.274,11,406307,-8.642,0.497,1,audio_features,spotify:track:5Q41NLTmGbVPozwHKK7bk2
99,0.612,0.103,155.961,0.0275,0.0188,1e-06,4,0.443,1,207120,-7.321,0.204,1,audio_features,spotify:track:5fXQmRFO1CDN04HtUVNCUh
100,0.529,0.257,81.527,0.0275,0.17,4.27e-06,4,0.48,6,295480,-7.825,0.469,1,audio_features,spotify:track:5DeXQ3qADuDmqsosnZAK3o
101,0.748,0.447,118.852,0.0363,0.127,0.0,4,0.5,4,250987,-9.072,0.514,1,audio_features,spotify:track:4bHsxqR3GMrXTxEPLuK5ue
102,0.396,0.248,126.091,0.0371,0.107,0.0,4,0.591,9,207693,-14.753,0.781,1,audio_features,spotify:track:4a8ZMNLB75047bY2I7oABt
103,0.491,0.114,79.954,0.0246,0.00693,0.00491,4,0.442,7,232120,-6.598,0.125,1,audio_features,spotify:track:5g1rzUEyVFNr2i4ifEjlVN
104,0.697,0.133,116.109,0.0277,0.0664,2.28e-05,4,0.741,0,160133,-7.028,0.774,1,audio_features,spotify:track:2LawezPeJhN4AWuSB0GtAU
105,0.636,0.0921,79.419,0.0256,0.0629,2.49e-06,4,0.493,1,284907,-7.408,0.279,1,audio_features,spotify:track:78PKCefXwDLbl4FVO1Pjzh
106,0.452,0.689,113.066,0.0307,0.0353,0.00228,4,0.367,10,520787,-10.422,0.189,1,audio_features,spotify:track:54X78diSLoUDI3joC2bjMz
107,0.943,0.162,173.671,0.0669,0.0286,0.00401,4,0.249,0,233507,-5.188,0.458,1,audio_features,spotify:track:4Zc7TCHzuNwL0AFBlyLdyr
108,0.552,0.0929,145.164,0.0258,0.028,1.36e-05,4,0.402,10,431333,-10.158,0.668,1,audio_features,spotify:track:3m7V717IKZqZLW5qUIOxdD
109,0.576,0.276,179.014,0.0289,0.00766,0.0462,4,0.348,0,288787,-8.388,0.428,1,audio_features,spotify:track:4nZi6XNe36Ut4Nij3IQ1yC
110,0.916,0.161,144.262,0.0482,0.0856,9.27e-05,4,0.592,9,249493,-6.9,0.886,1,audio_features,spotify:track:6o6ZPVUPJ0GTs2gQIt2jWc
111,0.521,0.214,106.055,0.0302,0.705,0.36,4,0.72,7,287933,-12.468,0.823,1,audio_features,spotify:track:0IWtEFQBwRHaMXZQtGEVcM
